Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping
DEL,BOM,2017-10-21T09:45:00Z,09:45,11:50,16940.0,14375.0,2149.0,Jet Airways,7,6h 50m,Economy,302,9W,9W_302_9W_7102_,True
DEL,BOM,2017-10-21T07:05:00Z,07:05,09:10,16940.0,14375.0,2149.0,Jet Airways,7,6h 55m,Economy,332,9W,9W_332_9W_472_,True
DEL,BOM,2017-10-21T18:15:00Z,18:15,20:20,17386.0,14800.0,2170.0,Jet Airways,7,9h 30m,Economy,334,9W,9W_334_9W_446_,True
DEL,BOM,2017-10-21T20:50:00Z,20:50,23:00,17386.0,14800.0,2170.0,Jet Airways,7,9h 45m,Economy,312,9W,9W_312_9W_479_,True
DEL,BOM,2017-10-21T08:00:00Z,08:00,10:05,17386.0,14800.0,2170.0,Jet Airways,7,9h 50m,Economy,336,9W,9W_336_9W_441_,True
DEL,BOM,2017-10-21T17:45:00Z,17:45,19:50,17386.0,14800.0,2170.0,Jet Airways,7,10h 0m,Economy,362,9W,9W_362_9W_446_,True
DEL,BOM,2017-10-21T07:05:00Z,07:05,09:10,17386.0,14800.0,2170.0,Jet Airways,7,10h 45m,Economy,332,9W,9W_332_9W_441_,True
DEL,BOM,2017-10-21T19:45:00Z,19:45,22:05,17386.0,14800.0,2170.0,Jet Airways,7,10h 50m,Economy,354,9W,9W_354_9W_479_,True
DEL,BOM,2017-10-21T19:15:00Z,19:15,21:20,17386.0,14800.0,2170.0,Jet Airways,7,11h 20m,Economy,376,9W,9W_376_9W_479_,True
DEL,BOM,2017-10-21T16:15:00Z,16:15,18:25,17386.0,14800.0,2170.0,Jet Airways,7,11h 30m,Economy,373,9W,9W_373_9W_446_,True
DEL,BOM,2017-10-21T18:15:00Z,18:15,20:20,17386.0,14800.0,2170.0,Jet Airways,7,12h 20m,Economy,334,9W,9W_334_9W_479_,True
DEL,BOM,2017-10-21T15:00:00Z,15:00,17:10,17386.0,14800.0,2170.0,Jet Airways,7,12h 45m,Economy,308,9W,9W_308_9W_446_,True
DEL,BOM,2017-10-21T17:45:00Z,17:45,19:50,17386.0,14800.0,2170.0,Jet Airways,7,12h 50m,Economy,362,9W,9W_362_9W_479_,True
DEL,BOM,2017-10-21T14:00:00Z,14:00,16:05,17386.0,14800.0,2170.0,Jet Airways,7,13h 45m,Economy,352,9W,9W_352_9W_446_,True
DEL,BOM,2017-10-21T16:15:00Z,16:15,18:25,17386.0,14800.0,2170.0,Jet Airways,7,14h 20m,Economy,373,9W,9W_373_9W_479_,True
DEL,BOM,2017-10-21T12:40:00Z,12:40,14:45,17386.0,14800.0,2170.0,Jet Airways,7,15h 5m,Economy,340,9W,9W_340_9W_446_,True
DEL,BOM,2017-10-21T15:00:00Z,15:00,17:10,17386.0,14800.0,2170.0,Jet Airways,7,15h 35m,Economy,308,9W,9W_308_9W_479_,True
DEL,BOM,2017-10-21T11:35:00Z,11:35,13:40,17386.0,14800.0,2170.0,Jet Airways,7,16h 10m,Economy,316,9W,9W_316_9W_446_,True
DEL,BOM,2017-10-21T14:00:00Z,14:00,16:05,17386.0,14800.0,2170.0,Jet Airways,7,16h 35m,Economy,352,9W,9W_352_9W_479_,True
DEL,BOM,2017-10-21T10:30:00Z,10:30,12:35,17386.0,14800.0,2170.0,Jet Airways,7,17h 15m,Economy,358,9W,9W_358_9W_446_,True
DEL,BOM,2017-10-21T12:40:00Z,12:40,14:45,17386.0,14800.0,2170.0,Jet Airways,7,17h 55m,Economy,340,9W,9W_340_9W_479_,True
DEL,BOM,2017-10-21T09:45:00Z,09:45,11:50,17386.0,14800.0,2170.0,Jet Airways,7,18h 0m,Economy,302,9W,9W_302_9W_446_,True
DEL,BOM,2017-10-21T08:00:00Z,08:00,10:05,17386.0,14800.0,2170.0,Jet Airways,7,19h 45m,Economy,336,9W,9W_336_9W_446_,True
DEL,BOM,2017-10-21T07:05:00Z,07:05,09:10,17386.0,14800.0,2170.0,Jet Airways,7,20h 40m,Economy,332,9W,9W_332_9W_446_,True
DEL,BOM,2017-10-21T10:00:00Z,10:00,12:15,18736.0,17545.0,1025.0,Air India,5,4h 45m,Economy,865,AI,AI_865_AI_663_,True
DEL,BOM,2017-10-21T09:00:00Z,09:00,11:10,18736.0,17545.0,1025.0,Air India,6,5h 45m,Economy,678,AI,AI_678_AI_663_,True
DEL,BOM,2017-10-21T08:00:00Z,08:00,10:10,18736.0,17545.0,1025.0,Air India,5,6h 45m,Economy,665,AI,AI_665_AI_663_,True
DEL,BOM,2017-10-21T19:45:00Z,19:45,22:05,19066.0,16400.0,2250.0,Jet Airways,7,20h 50m,Economy,354,9W,9W_354_9W_7102_,True
DEL,BOM,2017-10-21T19:15:00Z,19:15,21:20,19066.0,16400.0,2250.0,Jet Airways,7,21h 20m,Economy,376,9W,9W_376_9W_7102_,True
DEL,BOM,2017-10-21T17:45:00Z,17:45,19:50,19066.0,16400.0,2250.0,Jet Airways,7,22h 50m,Economy,362,9W,9W_362_9W_7102_,True
DEL,BOM,2017-10-21T16:15:00Z,16:15,18:25,19066.0,16400.0,2250.0,Jet Airways,7,24h 20m,Economy,373,9W,9W_373_9W_7102_,True
DEL,BOM,2017-10-21T15:00:00Z,15:00,17:10,19066.0,16400.0,2250.0,Jet Airways,7,25h 35m,Economy,308,9W,9W_308_9W_7102_,True
DEL,BOM,2017-10-21T14:00:00Z,14:00,16:05,19066.0,16400.0,2250.0,Jet Airways,7,26h 35m,Economy,352,9W,9W_352_9W_7102_,True
DEL,BOM,2017-10-21T08:00:00Z,08:00,10:05,20090.0,17375.0,2299.0,Jet Airways,7,4h 40m,Economy,336,9W,9W_336_9W_475_,True
DEL,BOM,2017-10-21T07:05:00Z,07:05,09:10,20090.0,17375.0,2299.0,Jet Airways,7,5h 35m,Economy,332,9W,9W_332_9W_475_,True
